permno,date,ticker,comnam,prc,ret,mom_12m,annual_div_ps,dividend_field_used,dividend_yield,mom_score,div_score,combined_score,is_price_up,is_high_dividend,passes_screen,screen_rank,next_ret
85205,2020-10-31,PRPH,PROPHASE LABS INC,7.24,1.092485,2.675120809966194,0.5,dvpsx_f,0.06906077348066299,0.9847020933977456,0.960950080515298,0.9728260869565217,True,True,True,1.0,0.447514
91977,2020-10-31,BGS,B & G FOODS INC NEW,26.56,-0.043572,0.576339306914444,1.9,dvpsx_f,0.07153614457831325,0.8977455716586151,0.9637681159420289,0.930756843800322,True,True,True,2.0,0.042545
75607,2020-10-31,NLOK,NORTONLIFELOCK INC,20.57,-0.012956,0.33497419942772666,12.4,dvpsx_f,0.19098264534899276,0.8285024154589372,0.9977858293075684,0.9131441223832528,True,True,True,3.0,-0.107681
13802,2020-10-31,APAM,ARTISAN PARTNERS ASSET MGMT INC,40.06,0.027443,0.34514507945861994,3.39,dvpsx_f,0.08462306540189715,0.8337359098228664,0.9742351046698873,0.9039855072463768,True,True,True,4.0,0.144034
64282,2020-10-31,LB,L BRANDS INC,32.01,0.006287,0.7910231283636746,1.2,dvpsx_f,0.03748828491096533,0.9235104669887279,0.8498389694041868,0.8866747181964574,True,True,True,5.0,0.212434
14574,2020-10-31,MC,MOELIS & CO,37.2,0.058623,0.23029894627345016,3.25,dvpsx_f,0.08736559139784945,0.7866344605475041,0.9782608695652174,0.8824476650563607,True,True,True,6.0,0.065121
89301,2020-10-31,GME,GAMESTOP CORP NEW,10.47,0.026471,0.7220388714558486,0.38,dvpsx_f,0.03629417382999045,0.9166666666666666,0.8409822866344605,0.8788244766505635,True,True,True,7.0,0.581662
24205,2020-10-31,NEE,NEXTERA ENERGY INC,73.21,0.055051,0.2292028708193592,5.0,dvpsx_f,0.06829668078131404,0.7862318840579711,0.9593397745571659,0.8727858293075685,True,True,True,8.0,0.009971
15302,2020-10-31,VIRT,VIRTU FINANCIAL INC,21.38,-0.070839,0.38048070273641454,0.96,dvpsx_f,0.04490177736202058,0.8490338164251208,0.8921095008051529,0.8705716586151369,True,True,True,9.0,0.077175
83462,2020-10-31,TUP,TUPPERWARE BRANDS CORP,31.72,0.573413,2.696976513210608,0.81,dvpsx_f,0.025535939470365702,0.9851046698872786,0.7528180354267311,0.8689613526570048,True,True,True,10.0,0.060845
85205,2020-11-30,PRPH,PROPHASE LABS INC,10.48,0.447514,4.319788824117405,0.5,dvpsx_f,0.047709923664122134,0.9869431643625192,0.9358678955453149,0.961405529953917,True,True,True,1.0,-0.124046
91977,2020-11-30,BGS,B & G FOODS INC NEW,27.69,0.042545,0.643404662727119,1.9,dvpsx_f,0.06861682918020945,0.8629032258064516,0.9727342549923195,0.9178187403993856,True,True,True,2.0,0.018599
13802,2020-11-30,APAM,ARTISAN PARTNERS ASSET MGMT INC,45.0,0.144034,0.5388917058333629,3.39,dvpsx_f,0.07533333333333334,0.8356374807987711,0.9773425499231951,0.9064900153609832,True,True,True,3.0,0.118667
90803,2020-11-30,CNSL,CONSOLIDATED COMMS HLDGS INC,5.6,0.199143,0.44329682180288565,0.7748,dvpsx_f,0.13835714285714287,0.7995391705069125,0.9971198156682027,0.8983294930875576,True,True,True,4.0,-0.126786
64282,2020-11-30,LB,L BRANDS INC,38.81,0.212434,1.1714973356144833,1.2,dvpsx_f,0.030919866013913937,0.9220430107526881,0.8367895545314901,0.879416282642089,True,True,True,5.0,-0.041742
90077,2020-11-30,COHN,COHEN & CO INC NEW,16.78,-0.12513,3.248102330415378,0.4,dvpsx_f,0.023837902264600714,0.9811827956989247,0.772273425499232,0.8767281105990783,True,True,True,6.0,-0.02652
83462,2020-11-30,TUP,TUPPERWARE BRANDS CORP,33.65,0.060845,2.921919049156908,0.81,dvpsx_f,0.024071322436849927,0.977726574500768,0.7734254992319508,0.8755760368663594,True,True,True,7.0,-0.037444
15540,2020-11-30,RILY,B RILEY FINANCIAL INC,36.14,0.391578,0.5164899201484359,1.49,dvpsx_f,0.041228555617044825,0.82642089093702,0.9070660522273426,0.8667434715821813,True,True,True,8.0,0.223575
15302,2020-11-30,VIRT,VIRTU FINANCIAL INC,22.79,0.077175,0.4870193009700974,0.96,dvpsx_f,0.04212373848179026,0.8172043010752689,0.913594470046083,0.8653993855606759,True,True,True,9.0,0.104432
14574,2020-11-30,MC,MOELIS & CO,39.24,0.065121,0.3104172439537234,3.25,dvpsx_f,0.0828236493374108,0.7361751152073732,0.9823348694316436,0.8592549923195084,True,True,True,10.0,0.242609
85205,2020-12-31,PRPH,PROPHASE LABS INC,9.18,-0.124046,3.6598902996409377,0.5,dvpsx_f,0.054466230936819175,0.9814275309541151,0.9603058994901675,0.9708667152221413,True,True,True,1.0,0.102396
13325,2020-12-31,MACK,MERRIMACK PHARMACEUTICALS INC,6.89,0.757653,1.1873018091928507,2.5007,dvpsx_f,0.13176743078347242,0.9038601602330663,0.9970866715222141,0.9504734158776402,True,True,True,2.0,-0.024674
13802,2020-12-31,APAM,ARTISAN PARTNERS ASSET MGMT INC,50.34,0.118667,0.7215073678894908,3.39,dvpsx_f,0.06734207389749702,0.8368536052439912,0.9748725418790969,0.905863073561544,True,True,True,3.0,-0.038538
91977,2020-12-31,BGS,B & G FOODS INC NEW,27.73,0.018599,0.6739703460491808,1.9,dvpsx_f,0.06851785070320951,0.8262927895120175,0.9759650400582666,0.901128914785142,True,True,True,4.0,0.373242
14574,2020-12-31,MC,MOELIS & CO,46.76,0.242609,0.6283362610920924,3.25,dvpsx_f,0.0695038494439692,0.8135469774217043,0.976693372177713,0.8951201747997086,True,True,True,5.0,0.063088
90077,2020-12-31,COHN,COHEN & CO INC NEW,16.335,-0.02652,3.135442656612762,0.4,dvpsx_f,0.024487297214569943,0.9748725418790969,0.7920611798980335,0.8834668608885652,True,True,True,6.0,0.056015
83462,2020-12-31,TUP,TUPPERWARE BRANDS CORP,32.39,-0.037444,2.7750667122802763,0.81,dvpsx_f,0.025007718431614697,0.9679533867443554,0.7967953386744355,0.8823743627093954,True,True,True,7.0,-0.071318
64282,2020-12-31,LB,L BRANDS INC,37.19,-0.041742,1.0808546938312635,1.2,dvpsx_f,0.032266738370529714,0.8936635105608157,0.8608885651857247,0.8772760378732702,True,True,True,8.0,0.095994
15540,2020-12-31,RILY,B RILEY FINANCIAL INC,44.22,0.223575,0.8555391540456225,1.49,dvpsx_f,0.0336951605608322,0.8623452294246177,0.8718135469774217,0.8670793882010197,True,True,True,9.0,0.090005
85931,2020-12-31,WDR,WADDELL & REED FINANCIAL INC,25.47,0.547388,0.6267774789172527,1.0,dvpsx_f,0.03926187671770711,0.8128186453022578,0.9085943190094683,0.860706482155863,True,True,True,10.0,0.002748
14172,2021-01-31,PPSI,PIONEER POWER SOLUTIONS INC,6.78,0.751938,2.190586326997437,1.37,dvpsx_f,0.11699321444813555,0.9410511363636364,0.9968039772727273,0.9689275568181819,True,True,True,1.0,-0.110619
85205,2021-01-31,PRPH,PROPHASE LABS INC,10.12,0.102396,4.11110048072282,0.5,dvpsx_f,0.049407114624505935,0.9772727272727273,0.9509943181818182,0.9641335227272727,True,True,True,2.0,-0.243083
13325,2021-01-31,MACK,MERRIMACK PHARMACEUTICALS INC,6.72,-0.024674,1.1889244383126525,2.5007,dvpsx_f,0.11699321444813555,0.8799715909090909,0.9968039772727273,0.9383877840909092,True,True,True,3.0,-0.035714
91977,2021-01-31,BGS,B & G FOODS INC NEW,38.08,0.373242,1.5664324592910277,1.9,dvpsx_f,0.04989495798319328,0.9122869318181818,0.9527698863636364,0.9325284090909091,True,True,True,4.0,-0.203519
16738,2021-01-31,AM,ANTERO MIDSTREAM CORP,8.1,0.050584,0.9007970236824279,1.0815,dvpsx_f,0.11699321444813555,0.83984375,0.9968039772727273,0.9183238636363636,True,True,True,5.0,0.126852
14328,2021-01-31,AMC,A M C ENTERTAINMENT HOLDINGS INC,13.26,5.254717,1.0530523102259823,0.8,dvpsx_f,0.0603318250377074,0.8625710227272727,0.96875,0.9156605113636364,True,True,True,6.0,-0.395928
81728,2021-01-31,NHTC,NATURAL HEALTH TRENDS CORP,5.47,0.098394,0.7781436653560987,0.64,dvpsx_f,0.11699321444813555,0.8156960227272727,0.9968039772727273,0.90625,True,True,True,7.0,0.272395
83462,2021-01-31,TUP,TUPPERWARE BRANDS CORP,30.08,-0.071318,3.805122373909507,0.81,dvpsx_f,0.026928191489361705,0.9733664772727273,0.8224431818181818,0.8979048295454546,True,True,True,8.0,0.01629
77584,2021-01-31,BKE,BUCKLE INC,39.32,0.346575,0.7594523207039658,2.3,dvpsx_f,0.058494404883011185,0.8128551136363636,0.9659090909090909,0.8893821022727273,True,True,True,9.0,-0.022381
15398,2021-01-31,CC,CHEMOURS CO,26.34,0.062525,1.012110763899675,1.0,dvpsx_f,0.037965072133637055,0.8558238636363636,0.9037642045454546,0.8797940340909092,True,True,True,10.0,-0.097191
85205,2021-02-28,PRPH,PROPHASE LABS INC,7.66,-0.243083,2.9435671833796535,0.5,dvpsx_f,0.06527415143603132,0.9565826330532213,0.9782913165266106,0.967436974789916,True,True,True,1.0,-0.034595
16401,2021-02-28,TUSK,MAMMOTH ENERGY SERVICES INC,5.56,0.414758,4.100912083285211,0.25,dvpsx_f,0.04496402877697842,0.9716386554621849,0.9488795518207283,0.9602591036414565,True,True,True,2.0,-0.043165
14172,2021-02-28,PPSI,PIONEER POWER SOLUTIONS INC,6.03,-0.110619,1.804650149087295,1.37,dvpsx_f,0.10050832685558157,0.9089635854341737,0.9963235294117647,0.9526435574229692,True,True,True,3.0,-0.195688
16738,2021-02-28,AM,ANTERO MIDSTREAM CORP,8.82,0.126852,1.4759784109088199,1.0815,dvpsx_f,0.10050832685558157,0.8834033613445378,0.9963235294117647,0.9398634453781513,True,True,True,4.0,0.02381
13325,2021-02-28,MACK,MERRIMACK PHARMACEUTICALS INC,6.48,-0.035714,1.2422147246589583,2.5007,dvpsx_f,0.10050832685558157,0.8546918767507002,0.9963235294117647,0.9255077030812324,True,True,True,5.0,-0.030864
81728,2021-02-28,NHTC,NATURAL HEALTH TRENDS CORP,6.76,0.272395,1.1954179191434262,0.64,dvpsx_f,0.09467455621301776,0.8462885154061625,0.9908963585434174,0.91859243697479,True,True,True,6.0,-0.001479
83462,2021-02-28,TUP,TUPPERWARE BRANDS CORP,30.57,0.01629,9.726330231994266,0.81,dvpsx_f,0.026496565260058884,0.9908963585434174,0.8350840336134454,0.9129901960784315,True,True,True,7.0,-0.136081
91977,2021-02-28,BGS,B & G FOODS INC NEW,30.33,-0.203519,1.2181411756883844,1.9,dvpsx_f,0.06264424662050774,0.8504901960784313,0.9751400560224089,0.9128151260504201,True,True,True,8.0,0.03973
13168,2021-02-28,TRIP,TRIPADVISOR INC,49.62,0.602196,1.1159936238888792,3.5,dvpsx_f,0.0705360741636437,0.8336834733893558,0.9803921568627451,0.9070378151260504,True,True,True,9.0,0.084039
52396,2021-02-28,SUP,SUPERIOR INDUSTRIES INTL INC,5.71,0.235931,1.1961522200089947,0.27,dvpsx_f,0.047285464098073555,0.8466386554621849,0.9558823529411765,0.9012605042016807,True,True,True,10.0,-0.005254
16738,2021-03-31,AM,ANTERO MIDSTREAM CORP,9.03,0.02381,4.263004658710476,1.0815,dvpsx_f,0.0992335921220054,0.9456981664315938,0.9959449929478138,0.9708215796897037,True,True,True,1.0,-0.018272
16401,2021-03-31,TUSK,MAMMOTH ENERGY SERVICES INC,5.32,-0.043165,6.1047018120246594,0.25,dvpsx_f,0.046992481203007516,0.9700282087447109,0.9569816643159379,0.9635049365303243,True,True,True,2.0,-0.281955
12476,2021-03-31,TRGP,TARGA RESOURCES CORP,31.75,0.026512,3.701699875997165,3.64,dvpsx_f,0.0992335921220054,0.9284203102961918,0.9959449929478138,0.9621826516220028,True,True,True,3.0,0.095748
52396,2021-03-31,SUP,SUPERIOR INDUSTRIES INTL INC,5.68,-0.005254,3.733334278531924,0.27,dvpsx_f,0.04753521126760564,0.9294781382228491,0.9580394922425952,0.9437588152327221,True,True,True,4.0,-0.116197
39490,2021-03-31,APA,A P A CORP,17.9,-0.092752,3.317960278562106,1.0,dvpsx_f,0.0558659217877095,0.9160789844851904,0.9703808180535967,0.9432299012693935,True,True,True,5.0,0.118715
83462,2021-03-31,TUP,TUPPERWARE BRANDS CORP,26.41,-0.136081,15.302494960063495,0.81,dvpsx_f,0.03067020068156002,0.9925952045133991,0.8885754583921015,0.9405853314527504,True,True,True,6.0,-0.077243
85205,2021-03-31,PRPH,PROPHASE LABS INC,7.395,-0.034595,2.9126921734333475,0.5,dvpsx_f,0.0676132521974307,0.8991537376586742,0.9816643159379408,0.9404090267983075,True,True,True,7.0,-0.279243
14490,2021-03-31,GCI,GANNETT CO INC,5.38,0.086869,2.635137996898798,1.52,dvpsx_f,0.0992335921220054,0.8815232722143864,0.9959449929478138,0.9387341325811001,True,True,True,8.0,-0.156134
93423,2021-03-31,SIX,SIX FLAGS ENTERTAINMENT CORP,46.47,0.041928,2.705742983633346,3.29,dvpsx_f,0.07079836453625996,0.8868124118476728,0.9837799717912553,0.935296191819464,True,True,True,9.0,0.010975
