date,portfolio_ret,n_stocks,avg_dividend_yield,avg_combined_score,cumret
2020-10-31,0.153362,10,0.07160850765623718,0.8980978260869564,1.153362
2020-11-30,0.035134399999999996,10,0.057502226318641825,0.8907162058371736,1.1938846818528
2020-12-31,0.0648958,10,0.0546316227060221,0.899435542607429,1.2713627833893828
2021-01-31,-0.0692898,10,0.07509944239439588,0.9211292613636364,1.1832703104008893
2021-02-28,-0.0299547,10,0.07134000671350561,0.9298406862745099,1.1478258032339237
2021-03-31,-0.0790786,10,0.0716409800161595,0.9472672778561353,1.0570573456703096
2021-04-30,0.17455610000000002,10,0.06800983204736172,0.9333987861478044,1.2415731534068708
2021-05-31,0.1576648,10,0.05454699220735197,0.9473989989274223,1.4373255363241344
2021-06-30,-0.0647267,10,0.06064704148216632,0.956049340993579,1.344292197532143
2021-07-31,-0.010893300000000002,10,0.060010223423901075,0.9415986394557823,1.329648419336766
2021-08-31,-0.020479800000000003,10,0.05717391824556449,0.9348328831870358,1.3024174856384327
2021-09-30,0.0717834,10,0.060335928802516016,0.9445177664974619,1.3959094409770105
2021-10-31,-0.06070144444444444,10,0.0526838690096762,0.947424965893588,1.3111757215960689
2021-11-30,0.041474333333333335,10,0.05227324969646556,0.9317529741077676,1.365555860532118
2021-12-31,-0.054067300000000006,10,0.052403540411767716,0.9408701854493581,1.29172394215397
2022-01-31,0.0472106,10,0.05403355906440741,0.9508794430194211,1.3527070044974243
2022-02-28,0.06618833333333334,10,0.05037978503830516,0.9565297817240104,1.4422404266134345
2022-03-31,-0.010409400000000001,10,0.04782907324192029,0.9469467061435974,1.4272275691166447
2022-04-30,0.0650511,10,0.05041969620354446,0.9516073478760045,1.5200702924380085
2022-05-31,-0.1382968,10,0.047827730829836275,0.9519402405898332,1.3098494352187677
2022-06-30,0.0620366,10,0.07029427452062312,0.9623011468738438,1.3911080406916603
2022-07-31,0.005847099999999999,10,0.07224868251432712,0.9594536304816679,1.3992419885163885
2022-08-31,-0.0912104,10,0.05533692850180403,0.9540215439856373,1.2716165670470132
2022-09-30,0.18942,10,0.0701766567268078,0.9520487264673312,1.5124861771770584
2022-10-31,0.0253706,10,0.07649460816053319,0.9507090239410682,1.5508588589837466
2022-11-30,-0.061606,10,0.0569345389615105,0.9441351150705272,1.455316648117194
2022-12-31,0.0316624,10,0.05775169732144536,0.9444496619083396,1.5013954659565398
2023-01-31,-0.05181722222222223,10,0.06642587735033893,0.9343083149374541,1.423597323453633
2023-02-28,-0.046266666666666664,10,0.07529957354506775,0.9445498511904761,1.357732220621845
2023-03-31,-0.0317782,10,0.07165082462538827,0.9481605032405642,1.3145859345684798
2023-04-30,-0.014131899999999998,10,0.07885540234433372,0.9385747038593809,1.2960083375997515
2023-05-31,0.021710200000000002,10,0.08076282364114745,0.9278211971025543,1.3241449378107097
2023-06-30,0.055975699999999996,10,0.07218181836089665,0.9190662202380953,1.3982648776061208
2023-07-31,0.035178,10,0.06161166503454348,0.9232812499999999,1.447453039470549
2023-08-31,-0.0329055,10,0.06525777178084041,0.9290856394913988,1.3998238734802508
2023-09-30,-0.0461934,10,0.07786942211589372,0.9325227963525837,1.335161249363028
2023-10-31,0.3768144,10,0.0875265400713219,0.940343347639485,1.8382692344450078
2023-11-30,0.07982977777777778,10,0.07559204252369399,0.941266460108443,1.9850178589264786
2023-12-31,-0.0764,10,0.07375415701242136,0.946327416918429,1.8333624945044957
2024-01-31,0.0841921,10,0.07719008220952527,0.9353544061302681,1.9877171329780678
2024-02-29,0.0453311,10,0.06853229934360014,0.9245722433460075,2.0778225371048102
2024-03-31,-0.0376027,10,0.07663913820242622,0.9273502653525398,1.9996907995888191
2024-04-30,-0.020503800000000006,10,0.05971319438419711,0.9161878881987577,1.95868953937221
2024-05-31,-0.0192237,10,0.07950775011792446,0.9330007748934521,1.9210362792741804
2024-06-30,0.0828517,10,0.0805302120264855,0.9353302611367127,2.080197400773721
2024-07-31,0.0157072,10,0.07031521280027438,0.9400494672754947,2.112871477387154
2024-08-31,-0.032188299999999996,10,0.06977151582756794,0.9271335629544584,2.044861736411573
2024-09-30,-0.072254,10,0.07091830560666068,0.9221135404679709,1.8971122965088911
2024-10-31,0.08101449999999999,10,0.06890708079075278,0.9079118773946361,2.0508059006544106
2024-11-30,0.012744,10,0.06267327445245796,0.8947900763358778,2.0769413710523508
2024-12-31,,10,0.055869610688206325,0.9197642967542503,2.0769413710523508
