metric,value
months,50.0
avg_monthly_return,0.01822053222222222
annualized_return,0.19174082466439812
annualized_vol,0.30553564801162436
annualized_sharpe,0.7156166165538498
max_drawdown,-0.16856356070746914
final_cumulative_return,1.0769413710523508
avg_n_stocks,10.0
